Peaks,YoungWT1_Ly6Chigh,YoungWT2_Ly6Chigh,YoungWT3_Ly6Chigh,OldWT1_Ly6Chigh,OldWT2_Ly6Chigh,OldWT3_Ly6Chigh,y,o
Merged-chr5-68735419-8,10.94822895,18.12131032,51.20476317,2.142870329,3.5946972,5.265942068,26.75810081,3.667836532
Merged-chr11-29341428-2,3.603441761,7.026302849,13.19774147,2.929293184,0.53465433,0,7.94249536,1.154649171
Merged-chr14-27115070-2,2.635628186,8.9367604,10.69610608,0,2.073015563,2.536525208,7.422831555,1.53651359
Merged-chr17-30024859-2,4.559205934,9.24660144,0,0,1.930865925,1.012385061,4.601935791,0.981083662
Merged-chr14-48199205-6,8.017947585,16.3060414,7.168349098,1.452128245,5.438329456,0,10.49744603,2.296819234
Merged-chr17-21679901-22,103.3691393,196.4855404,177.3804972,47.83262654,32.88579434,25.03477711,159.0783923,35.251066
Merged-chr12-83771086-4,3.018864042,8.81725382,7.263974308,3.014684493,1.235471798,0,6.36669739,1.416718764
Merged-chr3-8913908-2,3.492411343,6.233066583,13.19774147,2.929293184,1.235471798,1.012385061,7.641073132,1.725716681
Merged-chr5-67600135-9,3.018864042,6.436595288,14.86956662,2.12677581,2.376241469,1.012385061,8.108341983,1.838467447
Merged-chr10-95940660-24,117.8127856,140.4250539,140.4629974,33.29678986,32.50891979,25.03477711,132.900279,30.28016225
Merged-chr3-33824731-3,3.809903283,3.513151424,10.69610608,0.711725334,1.235471798,2.536525208,6.006386929,1.494574113
Merged-chr2-170497476-15,2.635628186,8.81725382,14.86956662,2.142870329,2.073015563,2.536525208,8.774149542,2.2508037
Merged-chr7-58741031-16,10.33691393,24.69997814,16.93811521,5.525170884,5.363516458,2.536525208,17.32500243,4.47507085
Merged-chr18-23803885-21,125.4600612,177.155827,242.4855868,51.10877289,65.66765716,25.03477711,181.7004917,47.27040239
Merged-chr15-51952613-5,5.38716003,6.436595288,13.19774147,2.929293184,3.601082098,0,8.340498929,2.176791761
Merged-chr17-88209749-8,8.731028357,13.75143338,13.19774147,4.801990711,2.073015563,2.536525208,11.89340107,3.137177161
Merged-chr9-86695934-5,5.465560712,9.297304305,10.69610608,2.12677581,3.601082098,1.012385061,8.486323699,2.246747656
Merged-chr10-118787387-8,10.1200556,36.45320956,19.19859493,9.526068654,5.485414559,2.536525208,21.92395336,5.84933614
Merged-chr2-16212933-4,4.356971098,9.24660144,11.17194833,2.142870329,1.930865925,2.536525208,8.258506956,2.203420487
Merged-chr1-120517790-5,5.465560712,13.51685011,4.852879588,3.014684493,2.376241469,1.012385061,7.945096803,2.134437008
Merged-chr4-16163810-22,200.2891003,313.4342053,360.6901151,74.1739082,133.1849808,31.69205409,291.4711402,79.6836477
Merged-chr15-101275894-8,13.59283257,19.97170524,15.25878071,2.12677581,5.438329456,5.928693338,16.27443951,4.497932868
Merged-chr1-151755194-24,179.5634099,245.8253138,246.6575353,46.28038567,89.92811507,50.04991176,224.0154197,62.0861375
Merged-chr7-98543044-4,15.60003128,9.297304305,21.83704078,8.166181872,2.376241469,2.536525208,15.57812546,4.359649516
Merged-chr12-116467234-10,11.15226453,23.67601133,21.83704078,4.725041846,5.363516458,5.928693338,18.88843888,5.339083881
Merged-chr11-55149082-4,8.731028357,8.81725382,3.846751439,1.452128245,3.601082098,1.012385061,7.131677872,2.021865135
Merged-chr7-80766201-11,3.931186282,9.297304305,7.263974308,2.142870329,1.235471798,2.536525208,6.830821632,1.971622445
Merged-chr4-148288198-9,6.249578193,2.774394521,15.25878071,2.142870329,2.376241469,2.536525208,8.094251141,2.351879002
Merged-chr10-95985897-7,7.421374104,14.3541771,15.75244714,2.12677581,3.5946972,5.265942068,12.50933278,3.662471693
Merged-chr18-34380754-2,8.972108991,6.233066583,10.69610608,3.014684493,3.5946972,1.012385061,8.633760551,2.540588918
Merged-chr7-109021619-6,3.492411343,2.774394521,11.17194833,2.142870329,2.073015563,1.012385061,5.812918065,1.742756984
Merged-chr11-64655354-11,21.46489741,45.28643704,43.65574266,9.526068654,18.7723076,5.200965315,36.80235904,11.16644719
Merged-chr2-181864323-22,114.7514763,219.9890034,310.1469246,71.9501123,103.439246,21.06056514,214.9624681,65.48330781
Merged-chr2-146512213-22,141.9337797,288.780101,310.1469246,121.6560774,59.33174737,45.18122199,246.9536018,75.38968225
Merged-chr16-35734221-7,10.82454565,9.24660144,10.69610608,2.929293184,5.485414559,1.012385061,10.25575106,3.142364268
Merged-chr4-40143356-22,121.0751267,98.39852567,165.8152331,33.39795503,39.05394647,46.36745806,128.4296285,39.60645319
Merged-chr3-53864081-22,89.63104724,89.80266966,125.1850104,24.35494653,44.77493863,25.03477711,101.5395758,31.38822076
Merged-chr4-55349815-22,169.9120931,196.4319224,146.2944031,46.28038567,49.32532666,63.06435799,170.8794729,52.89002344
Merged-chr1-108259497-13,12.29975988,25.86557736,29.68659061,10.39591812,5.485414559,5.200965315,22.61730928,7.027432665
Merged-chr19-14630891-3,8.972108991,14.3541771,13.35823959,4.801990711,5.684324919,1.012385061,12.22817523,3.83290023
Merged-chr3-131564654-22,195.7851256,359.7453335,399.5542583,125.6660394,118.6471515,55.70027997,318.3615725,100.0044903
Merged-chr15-85634681-23,172.7613559,162.5444,275.1427434,102.0832742,49.32532666,40.51020881,203.4828331,63.97293656
Merged-chr1-93819599-13,6.726762734,1.543019418,13.19774147,2.142870329,2.073015563,2.536525208,7.155841207,2.2508037
Merged-chr5-45323707-15,3.492411343,3.703246604,16.93811521,3.014684493,2.073015563,2.536525208,8.044591052,2.541408421
Merged-chr2-17065345-10,17.47695608,30.51932882,46.22811177,12.17706177,12.51487173,5.11678361,31.40813222,9.936239037
Merged-chr2-181706861-5,7.117897839,8.81725382,5.325370907,2.12677581,3.601082098,1.012385061,7.086840855,2.246747656
Merged-chr5-146772164-4,6.079502033,9.297304305,10.69610608,2.142870329,3.601082098,2.536525208,8.690970806,2.760159212
Merged-chr18-12973918-22,214.2712523,96.45297531,267.3669031,77.30050123,63.87286057,42.53103896,192.6970436,61.23480025
Merged-chr11-113638868-4,6.96207082,3.703246604,10.69610608,4.725041846,2.073015563,0,7.120474501,2.266019136
Merged-chr19-17218343-3,7.392040609,13.51685011,13.19774147,4.725041846,3.5946972,2.536525208,11.3688774,3.618754751
Merged-chr10-42313457-13,9.910897054,9.297304305,14.86956662,4.725041846,3.601082098,2.536525208,11.35925599,3.620883051
Merged-chr2-173417088-3,2.436195754,9.24660144,8.967237463,2.12677581,1.930865925,2.536525208,6.883344886,2.198055648
Merged-chr17-74733058-2,3.603441761,1.543019418,11.17194833,2.12677581,2.073015563,1.012385061,5.439469836,1.737392145
Merged-chr12-106658429-10,8.017947585,13.51685011,20.71505342,5.525170884,5.438329456,2.536525208,14.08328371,4.500008516
Merged-chr17-79927340-4,8.731028357,16.3060414,13.19774147,4.725041846,2.376241469,5.11678361,12.74493708,4.072688975
Merged-chr4-123904915-22,101.3017565,124.9167154,105.7650937,26.6966575,45.34609369,34.77699702,110.6611885,35.60658274
Merged-chr3-156561743-4,7.43205234,18.12131032,42.0423064,8.166181872,11.19751682,2.536525208,22.53188969,7.300074633
Merged-chr16-55810184-3,13.35847339,12.82737851,15.75244714,3.014684493,2.073015563,8.562242744,13.97943301,4.549980933
Merged-chr9-96961224-2,3.089440803,6.436595288,13.19774147,2.929293184,1.930865925,2.536525208,7.57459252,2.465561439
Merged-chr11-105577397-3,4.196379074,6.436595288,5.325370907,1.452128245,1.235471798,2.536525208,5.319448423,1.741375084
Merged-chr7-45814460-19,167.1293448,121.4680365,173.7402258,71.9501123,39.05394647,40.51020881,154.1125357,50.50475586
Merged-chr16-90090544-10,13.59283257,14.3541771,19.19859493,4.725041846,5.485414559,5.265942068,15.71520153,5.158799491
Merged-chr2-19519976-3,3.089440803,6.436595288,13.35823959,2.929293184,2.073015563,2.536525208,7.628091894,2.512944652
Merged-chr10-68714501-3,8.731028357,18.12131032,15.25878071,2.929293184,5.684324919,5.265942068,14.0370398,4.626520057
Merged-chr8-81466975-5,2.985610272,13.51685011,21.83704078,2.12677581,5.438329456,5.11678361,12.77983372,4.227296292
Merged-chr4-25281886-22,123.2626196,181.7650498,220.7287347,46.28038567,92.37595971,35.81748527,175.2521347,58.15794355
Merged-chr14-120830603-5,19.15025905,43.41776094,38.10326447,10.33639139,14.53339943,8.562242744,33.55709482,11.14401119
Merged-chr2-48949329-22,114.7514763,149.2072089,171.203067,43.92058406,79.8499309,21.06056514,145.0539174,48.2770267
Merged-chr15-5116536-23,134.1249379,178.2285088,183.0876532,63.41377282,76.90172907,25.03477711,165.1470333,55.11675967
Merged-chr5-3516930-10,13.59283257,13.75143338,10.69610608,4.725041846,5.438329456,2.536525208,12.68012401,4.233298837
Merged-chr4-72201047-22,192.9829611,344.5041342,385.2871271,175.6910162,97.16770562,35.70838066,307.5914075,102.8557008
Merged-chr6-57567809-5,7.117897839,3.703246604,16.18402104,2.929293184,3.601082098,2.536525208,9.001721828,3.022300163
Merged-chr15-78923676-13,21.06712649,9.297304305,19.27747028,4.725041846,6.80754012,5.200965315,16.54730036,5.577849094
Merged-chr2-124599204-7,4.857626686,9.24660144,19.19859493,4.801990711,5.438329456,1.012385061,11.10094102,3.750901743
Merged-chr15-84680946-8,11.81958661,24.69997814,20.71505342,8.80957802,5.363516458,5.200965315,19.07820606,6.458019931
Merged-chr7-113269250-2,4.857626686,8.81725382,10.69610608,2.12677581,3.5946972,2.536525208,8.123662195,2.752666073
Merged-chr5-150595621-19,116.1334183,162.8829059,146.2053477,79.39349068,32.88579434,32.22539981,141.7405573,48.16822828
Merged-chr5-99374657-4,6.96207082,13.51685011,13.19774147,5.409390012,5.04330652,1.012385061,11.22555413,3.821693864
Merged-chr10-94961513-17,22.18432259,15.79713173,15.75244714,10.39591812,5.363516458,2.536525208,17.91130049,6.098653262
Merged-chr2-18592414-11,7.392040609,13.75143338,10.69610608,4.725041846,3.5946972,2.536525208,10.61319336,3.618754751
Merged-chr8-79639253-18,147.6614047,230.0070065,211.3964768,53.64126746,69.6985981,77.55679477,196.3549627,66.96555344
Merged-chr19-18713086-22,114.7514763,104.899351,207.1422713,45.17632545,70.41520524,30.1511487,142.2643662,48.58089313
Merged-chr7-67672872-10,6.726762734,9.24660144,15.75244714,4.725041846,3.601082098,2.536525208,10.57527044,3.620883051
Merged-chr14-69979142-8,9.796213817,9.297304305,8.967237463,4.725041846,2.376241469,2.536525208,9.353585195,3.212602841
Merged-chr11-94870488-4,3.890143056,13.51685011,8.967237463,2.929293184,3.601082098,2.536525208,8.79141021,3.022300163
Merged-chr18-75489529-13,7.996269281,15.37753141,16.18402104,4.801990711,3.601082098,5.200965315,13.18594058,4.534679375
Merged-chr2-39017030-4,6.086594589,8.81725382,13.35823959,2.142870329,5.04330652,2.536525208,9.420696,3.240900686
Merged-chr6-67376259-20,74.56956034,124.9845729,115.5725469,45.81546193,32.49053239,30.19800011,105.0422267,36.16799814
Merged-chr9-15029304-2,6.419968726,13.51685011,15.75244714,4.725041846,5.04330652,2.536525208,11.89642199,4.101624525
Merged-chr10-94680026-5,6.812156826,7.026302849,13.35823959,2.12677581,2.073015563,5.200965315,9.065566422,3.133585563
Merged-chr8-114117670-6,6.33854016,16.3060414,19.19859493,5.525170884,8.956426278,0,13.9477255,4.827199054
Merged-chr13-96542569-23,107.0461974,124.3176538,140.1959088,24.35494653,59.43697393,44.86110281,123.8532533,42.88434109
Merged-chr2-92173379-12,6.086594589,8.81725382,2.120114017,2.12677581,1.235471798,2.536525208,5.674654142,1.966257605
Merged-chr9-115791160-2,10.82454565,13.75143338,21.83704078,8.166181872,5.438329456,2.536525208,15.4710066,5.380345512
Merged-chr5-92137817-21,122.3147534,127.5686657,154.0489762,64.36174059,44.77493863,31.58641391,134.6441318,46.90769771
Merged-chr4-28944427-22,61.67869926,124.9167154,127.0467637,59.37188307,32.88579434,17.05594537,104.5473928,36.43787426
Merged-chr4-148039000-21,176.7613623,234.0185403,216.9392664,71.9501123,89.92811507,57.79351442,209.239723,73.22391393
Merged-chr1-180387637-24,80.50539777,109.8930903,134.3712683,33.29678986,39.05394647,41.70192157,108.2565855,38.01755263
Merged-chr12-72536265-24,120.7947062,215.6603012,202.2334895,98.56420015,57.29351684,33.80568951,179.5628323,63.2211355
Merged-chr9-31931879-6,5.465560712,13.75143338,13.35823959,4.801990711,5.684324919,1.012385061,10.85841123,3.83290023
Merged-chr15-73090791-23,114.0655033,84.20538885,106.7962518,26.6966575,60.13501927,21.06056514,101.689048,35.96408064
Merged-chr4-19709176-22,86.59476515,127.5686657,176.899139,24.35494653,70.41520524,43.53861982,130.35419,46.10292386
Merged-chr12-76345935-16,8.731028357,12.82737851,8.967237463,2.929293184,5.363516458,2.536525208,10.17521478,3.609778283
Merged-chr12-36214559-7,7.996269281,9.297304305,16.18402104,2.929293184,8.956426278,0,11.15919821,3.961906487
Merged-chr8-19601715-3,4.356971098,10.39186719,16.93811521,0.711725334,5.438329456,5.11678361,10.56231783,3.7556128
Merged-chr12-8351448-8,8.481570404,13.51685011,16.93811521,8.80957802,5.04330652,0,12.97884524,4.61762818
Merged-chr13-76018647-24,84.94210598,144.4776265,170.6515107,71.5602304,32.88579434,38.02255508,133.3570811,47.48952661
Merged-chr2-3283981-22,188.6550011,206.5348386,259.7177665,130.0896236,67.85633313,35.70838066,218.3025354,77.88477913
Merged-chr16-14317402-23,108.3426079,154.7302533,172.1437112,57.7744419,57.29351684,40.51020881,145.0721908,51.85938918
Merged-chr6-145210973-19,124.0118865,162.5444,182.6370683,47.16275754,65.66765716,55.05002618,156.3977849,55.96014696
Merged-chr17-45478655-7,8.017947585,6.233066583,16.18402104,4.801990711,3.601082098,2.536525208,10.14501174,3.646532672
Merged-chr16-4964341-23,144.4313576,129.0443618,155.5448102,79.82434382,32.88579434,41.70192157,143.0068432,51.47068658
Merged-chr1-69496311-19,5.893444141,6.233066583,19.27747028,4.801990711,1.235471798,5.265942068,10.46799367,3.767801526
Merged-chr13-9326097-2,3.603441761,1.543019418,5.325370907,0,1.235471798,2.536525208,3.490610695,1.257332335
Merged-chr13-23401843-12,19.15025905,8.81725382,19.27747028,8.166181872,3.601082098,5.265942068,15.74832772,5.677735346
Merged-chr13-83530078-6,6.079502033,8.81725382,13.19774147,2.12677581,5.485414559,2.536525208,9.364832441,3.382905192
Merged-chr6-65590310-4,13.88823064,19.2068918,24.23453407,2.12677581,5.363516458,13.22427986,19.1098855,6.904857376
Merged-chr1-162051905-18,4.559205934,16.3060414,22.1475531,4.801990711,5.485414559,5.265942068,14.33760014,5.184449113
