Peaks,YoungWT1_Ly6Chigh,YoungWT2_Ly6Chigh,YoungWT3_Ly6Chigh,OldWT1_Ly6Chigh,OldWT2_Ly6Chigh,OldWT3_Ly6Chigh,y,o
Merged-chr1-146337233-19,2.951189702,0.784950645,3.846751439,16.15338584,40.94028859,14.22886401,2.527630595,23.77417948
Merged-chr1-141948213-8,1.002243448,3.513151424,0.914776257,4.801990711,22.24618659,20.98398127,1.810057043,16.01071952
Merged-chr10-129813941-2,1.114754386,1.450305805,0,10.39591812,10.23944051,0,0.855020064,6.878452877
Merged-chr6-139882237-14,3.492411343,2.774394521,2.019544505,18.87766719,27.21876591,16.86212781,2.76211679,20.98618697
Merged-chr13-87341202-3,1.297726619,0.784950645,2.253568976,2.142870329,11.19751682,18.80012802,1.445415413,10.71350506
Merged-chr18-45881736-5,0.316927008,3.513151424,2.253568976,17.36745381,10.23944051,14.22886401,2.027882469,13.94525278
Merged-chr3-50033525-7,1.925545713,3.703246604,2.253568976,21.41116753,18.53468346,13.22427986,2.627453764,17.72337695
Merged-chr7-84352939-6,3.018864042,1.543019418,3.846751439,17.76124601,23.30355427,13.49846748,2.8028783,18.18775592
Merged-chr8-112864561-4,1.297726619,1.450305805,0.914776257,11.72439219,5.438329456,5.11678361,1.220936227,7.426501752
Merged-chr1-188730854-3,0.652428493,1.450305805,2.253568976,11.72439219,8.616796932,5.11678361,1.452101091,8.485990911
Merged-chr6-129451865-6,4.233833095,2.774394521,0,12.55663835,11.50560789,16.67060734,2.336075872,13.57761786
Merged-chr9-104629430-5,5.893444141,1.450305805,4.852879588,32.68817107,23.10437859,13.49846748,4.065543178,23.09700571
Merged-chr17-26451750-4,2.985610272,1.543019418,2.120114017,11.72439219,5.485414559,16.43152432,2.216247902,11.21377702
Merged-chr11-97098660-3,2.985610272,1.543019418,0.914776257,10.39591812,3.5946972,13.49846748,1.814468649,9.1630276
Merged-chr1-163282534-4,2.951189702,0.784950645,4.852879588,5.409390012,14.53339943,22.42288284,2.863006645,14.12189076
Merged-chr7-47677214-10,0.95554173,3.703246604,3.846751439,8.166181872,12.51487173,20.98398127,2.835179924,13.88834496
Merged-chr1-141881994-7,1.789388501,6.436595288,2.253568976,14.98793992,22.48928698,13.22427986,3.493184255,16.90050225
Merged-chr7-99095406-4,3.018864042,0,0,1.452128245,8.013475182,5.11678361,1.006288014,4.860795679
Merged-chr13-41440406-5,3.492411343,1.543019418,0.914776257,14.76899845,8.013475182,5.928693338,1.983402339,9.57038899
Merged-chr12-60291458-6,0.95554173,1.450305805,2.253568976,11.72439219,5.438329456,5.200965315,1.553138837,7.45456232
Merged-chr17-26110674-13,2.985610272,2.774394521,0.914776257,9.514344261,11.50560789,10.89552874,2.224927017,10.63849363
Merged-chr6-139861796-16,4.857626686,6.233066583,13.35823959,39.18593188,50.03866353,25.05653027,8.149644286,38.09370856
Merged-chr8-90841696-8,3.603441761,2.774394521,0.914776257,9.526068654,11.19751682,13.22427986,2.430870846,11.31595511
Merged-chr8-92364614-2,3.890143056,1.450305805,2.019544505,15.14146222,8.013475182,10.89552874,2.453331122,11.35015538
